name,prompt
bamboo,"A die-cut sticker in full colour. A clean white border traces the outermost edge of the sticker and nothing extends past it; everything outside that border is fully transparent, PNG with alpha — no backdrop, no paper, no panel of colour behind the art. Where the sticker itself is a card, a sign or a patch, that shape is the sticker and the white border traces its edge. Subject: A stand of three bamboo culms, jointed nodes, narrow leaves turning at the top. Rendered as a woodblock print: flat inked colour fields with the grain showing through them, a confident carved key outline, one soft gradient where the colour fades. Palette: sap green, jade, cream, ink key line. One subject only, centred, filling the frame. No drop shadow, no scenery, no second object, no text or lettering."
barn,"A die-cut sticker in full colour. A clean white border traces the outermost edge of the sticker and nothing extends past it; everything outside that border is fully transparent, PNG with alpha — no backdrop, no paper, no panel of colour behind the art. Where the sticker itself is a card, a sign or a patch, that shape is the sticker and the white border traces its edge. Subject: A gambrel-roofed barn, hayloft door open above the main doors, weathervane on the ridge. Rendered as a woodblock print: flat inked colour fields with the grain showing through them, a confident carved key outline, one soft gradient where the colour fades. Palette: barn red, cream trim, slate roof, grass green. One subject only, centred, filling the frame. No drop shadow, no scenery, no second object, no text or lettering."
basketball,"A die-cut sticker in full colour. A clean white border traces the outermost edge of the sticker and nothing extends past it; everything outside that border is fully transparent, PNG with alpha — no backdrop, no paper, no panel of colour behind the art. Where the sticker itself is a card, a sign or a patch, that shape is the sticker and the white border traces its edge. Subject: A pebbled-leather basketball, deep black seam channels, one worn shine mark. Rendered as a 1960s comic-book panel: heavy black ink outlines, flat Ben-Day halftone dots carrying the shading, colour plates printed slightly off-register. Palette: burnt orange, black ink, cream Ben-Day. One subject only, centred, filling the frame. No drop shadow, no scenery, no second object, no text or lettering."
bed,"A die-cut sticker in full colour. A clean white border traces the outermost edge of the sticker and nothing extends past it; everything outside that border is fully transparent, PNG with alpha — no backdrop, no paper, no panel of colour behind the art. Where the sticker itself is a card, a sign or a patch, that shape is the sticker and the white border traces its edge. Subject: An iron-framed single bed from the side, striped wool blanket folded back, one plump pillow. Rendered as a woodblock print: flat inked colour fields with the grain showing through them, a confident carved key outline, one soft gradient where the colour fades. Palette: faded rose, ochre, powder-blue frame, cream. One subject only, centred, filling the frame. No drop shadow, no scenery, no second object, no text or lettering."
bicycle,"A die-cut sticker in full colour. A clean white border traces the outermost edge of the sticker and nothing extends past it; everything outside that border is fully transparent, PNG with alpha — no backdrop, no paper, no panel of colour behind the art. Where the sticker itself is a card, a sign or a patch, that shape is the sticker and the white border traces its edge. Subject: A steel road bicycle from the side, drop handlebars, laced spokes, exposed chain. Rendered as a vintage offset-litho illustration on card: confident inked linework, flat colours printed very slightly off-register, a fine dot screen doing the shading, the ink sun-faded and the surface lightly worn. Palette: sky-blue frame, cream saddle and tape, chrome, tan tyres. One subject only, centred, filling the frame. No drop shadow, no scenery, no second object, no text or lettering."
brownie,"A die-cut sticker in full colour. A clean white border traces the outermost edge of the sticker and nothing extends past it; everything outside that border is fully transparent, PNG with alpha — no backdrop, no paper, no panel of colour behind the art. Where the sticker itself is a card, a sign or a patch, that shape is the sticker and the white border traces its edge. Subject: A thick square chocolate brownie, crackled top crust, dense fudgy crumb, one bite from a corner. Rendered as a vintage offset-litho illustration on card: confident inked linework, flat colours printed very slightly off-register, a fine dot screen doing the shading, the ink sun-faded and the surface lightly worn. Palette: dark cocoa crumb, caramel crust, cream. One subject only, centred, filling the frame. No drop shadow, no scenery, no second object, no text or lettering."
cat,"A die-cut sticker in full colour. A clean white border traces the outermost edge of the sticker and nothing extends past it; everything outside that border is fully transparent, PNG with alpha — no backdrop, no paper, no panel of colour behind the art. Where the sticker itself is a card, a sign or a patch, that shape is the sticker and the white border traces its edge. Subject: A tabby cat sitting in profile, tail curled around its paws, ears pricked. Rendered as a vintage offset-litho illustration on card: confident inked linework, flat colours printed very slightly off-register, a fine dot screen doing the shading, the ink sun-faded and the surface lightly worn. Palette: ginger tabby, cream chest, sage-green eyes. One subject only, centred, filling the frame. No drop shadow, no scenery, no second object, no text or lettering."
classical-building,"A die-cut sticker in full colour. A clean white border traces the outermost edge of the sticker and nothing extends past it; everything outside that border is fully transparent, PNG with alpha — no backdrop, no paper, no panel of colour behind the art. Where the sticker itself is a card, a sign or a patch, that shape is the sticker and the white border traces its edge. Subject: A small neoclassical portico, fluted columns, triangular pediment, wide steps. Rendered as a woodblock print: flat inked colour fields with the grain showing through them, a confident carved key outline, one soft gradient where the colour fades. Palette: cream limestone, warm grey shadow, brass door. One subject only, centred, filling the frame. No drop shadow, no scenery, no second object, no text or lettering."
coat,"A die-cut sticker in full colour. A clean white border traces the outermost edge of the sticker and nothing extends past it; everything outside that border is fully transparent, PNG with alpha — no backdrop, no paper, no panel of colour behind the art. Where the sticker itself is a card, a sign or a patch, that shape is the sticker and the white border traces its edge. Subject: A heavy wool overcoat on a wooden hanger, notched lapels, horn buttons. Rendered as a matchbox label: exactly two ink colours on coarse grey board, deliberate misregistration between them, bold simplified shapes, softened corners. Palette: camel and oxblood on grey board. One subject only, centred, filling the frame. No drop shadow, no scenery, no second object, no text or lettering."
cocktail,"A die-cut sticker in full colour. A clean white border traces the outermost edge of the sticker and nothing extends past it; everything outside that border is fully transparent, PNG with alpha — no backdrop, no paper, no panel of colour behind the art. Where the sticker itself is a card, a sign or a patch, that shape is the sticker and the white border traces its edge. Subject: A martini glass, olive on a pick, condensation misting the bowl. Rendered as a small chipped enamel tin sign: thick glossy enamel in flat bold shapes inside a simple border, chips showing bare steel, rust creeping in at the corners, two rivet holes. Palette: olive green, cream, gold rim, chipped scarlet. One subject only, centred, filling the frame. No drop shadow, no scenery, no second object, no text or lettering."
